acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-11-13T05:51:50.677135Z,17,1,81,0,PS2.SD,test
2019-11-12T05:50:59.914307Z,9,4,87,0,PS2.SD,test
2019-10-20T05:22:18.952643Z,0,57,9,34,PS2,standard
2019-12-05T05:22:38.824143Z,0,77,0,23,PS2,standard
2019-12-04T05:23:20.711745Z,0,100,0,0,PS2,standard
2019-12-09T05:27:50.865103Z,48,22,27,2,PS2,standard
2019-12-07T05:23:08.938021Z,0,100,0,0,PS2,standard
2019-12-04T05:20:07.088612Z,0,94,0,6,PS2,standard
2019-12-04T05:49:43.902549Z,0,26,0,74,PS2.SD,standard
2019-12-03T04:01:54.617633Z,0,100,0,0,PS2,standard
2019-12-02T04:01:20.284813Z,0,100,0,0,PS2,standard
2019-12-01T05:22:00.872649Z,0,100,0,0,PS2,standard
2019-11-30T05:07:22.977209Z,0,100,0,0,PS2,standard
2019-11-28T04:01:38.786201Z,30,61,0,6,PS2,test
2019-11-27T05:21:21.273765Z,40,36,15,9,PS2,test
2019-11-26T05:22:38.990974Z,20,39,35,6,PS2,standard
2019-11-25T05:10:19.569659Z,0,100,0,0,PS2,standard
2019-11-24T05:41:20.373699Z,3,44,10,44,PS2.SD,standard
2019-11-23T05:20:34.847574Z,0,93,0,6,PS2,standard
2019-11-23T05:20:35.900868Z,0,51,1,49,PS2,standard
2019-11-21T04:04:12.831296Z,51,21,28,0,PS2,standard
2019-11-21T05:21:29.017749Z,45,0,45,10,PS2,test
2019-11-20T05:51:36.178205Z,0,38,2,60,PS2.SD,standard
2019-11-19T05:19:48.76012Z,4,73,12,11,PS2,standard
2019-11-18T04:03:12.834864Z,0,100,0,0,PS2,standard
2019-11-18T05:40:11.462352Z,0,100,0,0,PS2.SD,standard
2019-11-17T05:20:45.309995Z,0,100,0,0,PS2,standard
2019-11-15T04:03:31.436331Z,98,1,0,1,PS2,test
2019-11-11T05:22:36.225759Z,2,3,60,35,PS2,standard
2019-11-10T05:20:36.360027Z,0,100,0,0,PS2,standard
2019-11-08T05:19:23.374197Z,0,100,0,0,PS2,standard
2019-11-07T04:06:52.356273Z,0,92,0,8,PS2,standard
2019-11-06T05:51:59.779285Z,0,99,0,1,PS2.SD,standard
2019-11-04T05:35:46.555933Z,0,86,0,14,PS2.SD,standard
2019-10-30T05:52:30.767882Z,4,13,25,58,PS2.SD,standard
2019-10-29T04:08:55.958839Z,0,8,75,17,PS2,standard
2019-10-27T05:21:13.608534Z,0,100,0,0,PS2,standard
2019-10-26T05:18:36.660841Z,0,2,58,39,PS2,standard
2019-10-25T05:19:15.106102Z,0,3,38,58,PS2,standard
2019-10-25T05:19:16.142619Z,0,2,36,62,PS2,standard
2019-10-24T05:20:59.995361Z,0,91,0,9,PS2,standard
2019-10-24T05:20:58.959368Z,0,100,0,0,PS2,standard
2019-10-23T04:07:27.855994Z,0,96,0,4,PS2,standard
2019-10-23T05:20:09.403749Z,0,100,0,0,PS2,standard
2019-10-23T05:52:00.182093Z,0,69,0,31,PS2.SD,standard
2019-10-22T04:07:41.865147Z,0,100,0,0,PS2,standard
2019-10-22T05:19:34.96666Z,0,100,0,0,PS2,standard
2019-10-21T05:22:08.306381Z,0,100,0,0,PS2,standard
2019-10-21T05:22:09.340277Z,0,100,0,0,PS2,standard
2019-10-23T08:04:04.571639Z,0,100,0,0,PS2,standard
