acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-12-12T05:49:42.485355Z,53,24,0,0,PS2.SD,test
2019-12-12T05:49:44.59509Z,44,18,0,0,PS2.SD,test
2019-12-19T05:42:56.33892Z,96,3,1,0,PS2.SD,test
2019-11-13T05:37:55.950295Z,81,3,16,0,PS2.SD,test
2019-10-18T05:54:07.384722Z,91,2,0,0,PS2.SD,test
2019-10-31T05:41:26.150243Z,0,0,0,99,PS2.SD,standard
2019-11-13T05:51:52.723955Z,51,3,45,0,PS2.SD,test
2019-11-21T05:42:05.457586Z,17,4,79,0,PS2.SD,test
2019-12-05T05:22:38.550921Z,0,82,0,18,PS2,standard
2019-12-04T05:23:19.66212Z,0,100,0,0,PS2,standard
2019-12-04T05:23:20.711745Z,0,100,0,0,PS2,standard
2019-12-05T05:50:40.010173Z,0,33,2,65,PS2.SD,standard
2019-12-14T05:20:42.589504Z,21,69,0,10,PS2,test
2019-12-11T05:23:30.533462Z,0,21,45,34,PS2,standard
2019-12-09T05:23:15.38312Z,17,5,75,4,PS2,standard
2019-12-08T05:39:46.160299Z,0,50,0,50,PS2.SD,standard
2019-12-04T04:01:04.612915Z,0,36,21,43,PS2,standard
2019-12-04T05:07:56.45231Z,0,100,0,0,PS2,standard
2019-12-03T04:01:56.519225Z,0,100,0,0,PS2,standard
2019-12-03T05:11:43.875651Z,0,100,0,0,PS2,standard
2019-12-01T05:21:59.820927Z,0,100,0,0,PS2,standard
2019-12-01T05:21:04.38662Z,0,100,0,0,PS2,standard
2019-11-30T05:23:00.158516Z,0,100,0,0,PS2,standard
2019-11-28T05:21:42.541852Z,27,28,28,13,PS2,standard
2019-11-28T05:52:00.035717Z,39,29,26,7,PS2.SD,standard
2019-11-25T05:21:48.936993Z,0,100,0,0,PS2,standard
2019-11-23T04:04:28.681082Z,6,39,8,47,PS2,standard
2019-11-21T04:04:14.712441Z,52,22,0,26,PS2,standard
2019-11-21T05:21:17.887207Z,27,14,60,0,PS2,standard
2019-11-20T05:51:38.250191Z,0,90,0,10,PS2.SD,standard
2019-11-20T05:22:08.250939Z,0,100,0,0,PS2,standard
2019-11-19T04:04:07.619031Z,4,88,6,2,PS2,standard
2019-11-17T04:05:53.663515Z,0,93,0,7,PS2,standard
2019-11-15T04:03:33.310136Z,69,25,4,2,PS2,standard
2019-11-11T05:22:35.176134Z,18,10,65,7,PS2,standard
2019-11-08T04:06:01.059168Z,0,100,0,0,PS2,standard
2019-11-08T04:06:00.123838Z,0,96,0,4,PS2,standard
2019-11-08T05:20:06.372979Z,0,100,0,0,PS2,standard
2019-11-07T04:06:54.224311Z,0,100,0,0,PS2,standard
2019-11-06T05:52:01.839213Z,0,100,0,0,PS2.SD,standard
2019-11-06T05:21:49.148465Z,0,100,0,0,PS2,standard
2019-11-05T05:23:59.748387Z,0,100,0,0,PS2,standard
2019-11-05T04:08:03.338352Z,0,100,0,0,PS2,standard
2019-11-04T04:07:19.056855Z,0,100,0,0,PS2,standard
2019-11-03T05:20:41.092191Z,19,19,8,54,PS2,standard
2019-10-30T05:21:35.228779Z,0,100,0,0,PS2,standard
2019-10-30T05:52:32.842489Z,0,67,2,31,PS2.SD,standard
2019-10-29T05:20:08.691598Z,1,36,10,53,PS2,standard
2019-10-29T05:40:36.791356Z,6,7,54,33,PS2.SD,standard
2019-10-27T05:21:13.608534Z,0,100,0,0,PS2,standard
2019-10-27T05:21:12.573589Z,0,100,0,0,PS2,standard
2019-10-24T05:53:08.690891Z,0,78,0,22,PS2.SD,standard
2019-10-23T05:20:08.370901Z,0,99,0,1,PS2,standard
2019-10-22T05:19:34.96666Z,0,100,0,0,PS2,standard
2019-10-21T05:13:29.704268Z,0,100,0,0,PS2,standard
2019-10-20T05:19:51.639297Z,1,46,17,35,PS2,standard
2019-10-19T05:37:55.529634Z,0,90,0,10,PS2.SD,standard
2019-10-19T05:37:53.049227Z,0,98,0,2,PS2.SD,standard
2019-10-16T05:21:10.958393Z,0,100,0,0,PS2,standard
2019-10-16T05:23:57.039018Z,0,100,0,0,PS2,standard
2019-10-15T04:09:17.307171Z,0,90,0,10,PS2,standard
2019-10-14T05:11:39.193946Z,0,100,0,0,PS2,standard
2019-10-14T05:11:40.249338Z,0,100,0,0,PS2,standard
2019-10-14T04:09:24.665133Z,0,77,0,23,PS2,standard
2019-10-11T05:53:21.800551Z,0,96,0,4,PS2.SD,standard
2019-10-11T05:38:32.1291Z,0,89,0,11,PS2.SD,standard
2019-10-10T05:22:08.513806Z,0,100,0,0,PS2,standard
