acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-11-26T05:43:18.898349Z,14,5,81,0,PS2.SD,standard
2019-12-12T05:41:34.165739Z,16,29,0,0,PS2.SD,test
2019-12-19T05:48:53.444157Z,62,18,0,0,PS2.SD,test
2019-12-19T05:48:55.533444Z,15,20,2,0,PS2.SD,test
2019-11-13T05:37:45.864042Z,66,10,24,0,PS2.SD,test
2019-11-21T05:41:55.398597Z,20,3,40,37,PS2.SD,standard
2019-11-16T05:41:32.255901Z,8,26,0,0,PS2.SD,test
2019-11-12T05:51:12.19785Z,68,7,25,0,PS2.SD,test
2019-12-05T05:22:27.007147Z,0,20,19,61,PS2,standard
2019-12-06T05:22:53.132896Z,0,82,0,18,PS2,standard
2019-12-11T05:49:08.399959Z,0,2,5,94,PS2.SD,standard
2019-12-11T05:23:19.033729Z,0,8,42,50,PS2,standard
2019-12-10T04:01:11.330061Z,0,0,99,1,PS2,standard
2019-12-04T05:07:45.20476Z,0,1,87,13,PS2,standard
2019-12-04T05:49:56.401575Z,0,75,0,25,PS2.SD,standard
2019-12-03T05:11:32.595594Z,0,100,0,0,PS2,standard
2019-12-02T04:01:32.660631Z,0,94,0,6,PS2,standard
2019-12-01T05:20:52.82607Z,0,93,0,7,PS2,standard
2019-11-30T05:22:49.659123Z,0,96,0,4,PS2,standard
2019-11-30T05:22:48.608975Z,0,92,0,8,PS2,standard
2019-11-28T04:01:51.074986Z,0,12,88,0,PS2,standard
2019-11-25T05:21:37.364907Z,0,100,0,0,PS2,standard
2019-11-25T05:21:38.417153Z,0,100,0,0,PS2,standard
2019-11-24T05:23:23.498395Z,0,100,0,0,PS2,standard
2019-11-24T05:20:45.150124Z,0,100,0,0,PS2,standard
2019-11-24T05:20:46.201322Z,0,100,0,0,PS2,standard
2019-11-21T05:21:06.31722Z,16,21,63,0,PS2,standard
2019-11-21T05:21:07.368941Z,69,16,14,0,PS2,standard
2019-11-20T05:21:56.696681Z,0,100,0,0,PS2,standard
2019-11-19T05:50:23.689556Z,0,75,1,24,PS2.SD,standard
2019-11-18T04:03:25.968279Z,0,100,0,0,PS2,standard
2019-11-18T05:21:31.331483Z,0,100,0,0,PS2,standard
2019-11-11T04:04:15.475922Z,44,16,39,1,PS2,standard
2019-11-09T05:22:10.616694Z,0,100,0,0,PS2,standard
2019-11-08T05:19:54.899985Z,0,100,0,0,PS2,standard
2019-11-06T05:21:38.694687Z,30,30,2,38,PS2,standard
2019-11-06T05:21:37.649781Z,12,28,9,51,PS2,standard
2019-11-05T05:23:48.25914Z,0,100,0,0,PS2,standard
2019-11-05T05:51:13.075812Z,0,100,0,0,PS2.SD,standard
2019-11-05T05:51:15.11739Z,0,100,0,0,PS2.SD,standard
2019-11-03T05:20:29.605565Z,0,18,65,17,PS2,standard
2019-10-31T05:41:14.078511Z,0,85,0,15,PS2.SD,standard
2019-10-30T05:21:23.778853Z,0,100,0,0,PS2,standard
2019-10-30T05:52:43.214479Z,0,95,0,5,PS2.SD,standard
2019-10-29T04:09:08.997357Z,0,62,2,36,PS2,standard
2019-10-29T05:19:57.257401Z,0,100,0,0,PS2,standard
2019-10-29T05:19:58.297064Z,0,91,0,9,PS2,standard
2019-10-29T05:40:24.748461Z,0,97,0,3,PS2.SD,standard
2019-10-25T04:06:48.708365Z,0,16,79,5,PS2,standard
2019-10-23T04:07:40.96267Z,0,100,0,0,PS2,standard
2019-10-23T05:52:12.646516Z,0,97,0,3,PS2.SD,standard
2019-10-22T04:07:53.990355Z,0,100,0,0,PS2,standard
2019-10-21T05:13:18.056161Z,0,100,0,0,PS2,standard
2019-10-20T04:08:35.566156Z,0,100,0,0,PS2,standard
2019-10-20T05:19:40.266442Z,0,89,2,9,PS2,standard
2019-10-20T05:19:41.300338Z,0,80,1,18,PS2,standard
2019-10-19T04:08:25.052242Z,0,100,0,0,PS2,standard
2019-10-19T05:37:43.127077Z,0,99,0,1,PS2.SD,standard
2019-10-17T05:12:12.527688Z,0,8,4,89,PS2,standard
2019-10-17T05:53:21.43434Z,0,1,74,25,PS2.SD,standard
2019-10-17T05:53:19.363927Z,0,1,28,70,PS2.SD,standard
2019-10-16T05:20:59.591829Z,0,100,0,0,PS2,standard
2019-10-16T05:51:38.577876Z,0,69,0,31,PS2.SD,standard
2019-10-12T04:09:41.473169Z,0,86,0,14,PS2,standard
2019-10-12T05:22:33.25386Z,0,100,0,0,PS2,standard
2019-10-11T05:22:35.140196Z,0,100,0,0,PS2,standard
2019-10-10T04:09:56.816113Z,0,94,0,6,PS2,standard
2019-10-10T05:52:28.56277Z,0,97,0,3,PS2.SD,standard
2019-10-10T05:23:41.966143Z,0,100,0,0,PS2,standard
2019-10-10T05:23:42.999515Z,0,100,0,0,PS2,standard
2019-12-18T08:04:54.102106Z,66,21,9,1,PS2,test
