,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_79,79,97.73924817305556,26.696101330771597,23.974950814166668,7,2,1,0
UNQ_71,71,97.73930569916666,27.30280562215278,23.746341380972222,8,4,1,0
UNQ_11621,11621,118.44715657833333,22.642576864276727,23.810843509444446,7,3,1,0
UNQ_12862,12862,118.6805861411111,26.11579968134058,23.744920502777777,5,3,2,0
UNQ_11757,11757,119.44683524444444,25.00117869682292,23.915209606666668,8,3,1,0
UNQ_35,35,119.50218195083333,24.524288120515873,22.718620524722223,8,2,1,0
UNQ_1,1,119.70893566972222,22.59145788201111,23.901382915972224,5,1,1,0
UNQ_10,10,119.70922577583333,23.485852639485817,23.809132291666668,7,1,1,0
UNQ_19,19,119.70924718416666,26.735830460782832,23.82331052138889,8,3,1,0
UNQ_61,61,119.71910290472222,24.026458537461114,23.603301525694445,8,3,1,0
UNQ_69,69,119.71978943083333,25.001926596915506,23.815745258055557,9,2,1,0
UNQ_77,77,119.72105223638889,24.491677508276645,23.97841188638889,7,1,1,0
UNQ_85,85,119.72162837083333,25.001920971741896,23.963254876666664,8,1,1,0
UNQ_8,8,119.8400459975,29.309525410989163,22.78562567277778,8,4,2,0
UNQ_34,34,119.84229490166668,29.30952274692412,23.49368286111111,9,4,3,0
UNQ_12028,12028,120.29712388805555,26.667924182765425,23.81311367638889,9,3,2,1
UNQ_11892,11892,120.29714296638889,30.00141452720833,23.915211063194445,9,5,2,1
UNQ_12163,12163,120.29739447888889,23.530521409128543,23.813672479999997,6,1,1,1
UNQ_26,26,120.49266894888889,34.33400492910317,23.279409805833332,9,5,4,1
UNQ_17,17,120.49352805333334,32.47811424680931,22.747102750277776,10,4,3,1
UNQ_7,7,120.5249294425,32.42951071463214,24.13445847222222,7,4,1,1
UNQ_70,70,142.20328102444444,24.026474869033336,23.174538639583332,6,3,1,1
UNQ_78,78,142.20358904361112,28.6029595150992,23.761625456805554,5,4,3,1
UNQ_86,86,142.2036365211111,25.560108855585106,23.54888118527778,4,3,2,1
UNQ_62,62,142.20380210833332,24.026452615916664,22.761105945416666,8,3,1,1
UNQ_11,11,142.28180223500001,26.761750032790406,23.79286340638889,8,2,2,1
UNQ_20,20,142.28212059416666,25.053576502180853,23.81026722972222,8,1,1,1
UNQ_65,65,143.98577596722222,33.88277466209968,23.781856346111113,10,4,2,1
UNQ_57,57,143.98606432555556,34.909521499343434,23.974298014722223,10,3,1,1
UNQ_99,99,143.99704414944443,21.079286352227093,23.497382975555556,3,1,1,1
UNQ_12867,12867,143.99704560555554,19.69705593225865,22.894830248055555,4,1,1,1
UNQ_9,9,144.05332837611112,29.27288336373984,23.473551819444445,9,2,2,1
UNQ_18,18,167.527172195,30.774042354565527,22.754805812777775,9,4,3,1
UNQ_27,27,167.52802678444445,27.911327368811378,22.766908441944445,8,3,2,1
UNQ_42,42,167.5294653722222,35.2909371839951,23.979908698888888,10,3,3,2
UNQ_50,50,167.5303198161111,35.338667733946075,23.612825464861114,9,5,3,3
