acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-12-12T05:49:42.485355Z,53,24,0,0,PS2.SD,test
2019-12-17T05:40:51.805473Z,100,0,0,0,PS2.SD,test
2019-12-19T05:42:56.33892Z,96,3,1,0,PS2.SD,test
2019-11-13T05:51:50.677135Z,17,1,81,0,PS2.SD,test
2019-10-20T05:22:18.952643Z,0,57,9,34,PS2,standard
2019-12-04T05:23:21.761369Z,0,100,0,0,PS2,standard
2019-12-05T05:50:37.940284Z,0,15,7,77,PS2.SD,standard
2019-12-14T05:20:43.635458Z,19,42,0,39,PS2,test
2019-12-10T05:20:07.671016Z,2,40,12,46,PS2,standard
2019-12-09T05:23:16.430123Z,12,9,63,16,PS2,standard
2019-12-08T05:39:46.160299Z,0,50,0,50,PS2.SD,standard
2019-12-07T05:23:08.938021Z,0,100,0,0,PS2,standard
2019-12-04T05:07:57.474672Z,0,80,0,20,PS2,standard
2019-12-04T05:20:07.088612Z,0,94,0,6,PS2,standard
2019-12-03T04:01:54.617633Z,0,100,0,0,PS2,standard
2019-12-02T04:01:20.284813Z,0,100,0,0,PS2,standard
2019-12-01T05:22:00.872649Z,0,100,0,0,PS2,standard
2019-11-28T05:21:43.593574Z,53,28,10,2,PS2,standard
2019-11-27T05:21:21.273765Z,40,36,15,9,PS2,test
2019-11-25T05:10:20.602506Z,0,100,0,0,PS2,standard
2019-11-24T05:41:20.373699Z,3,44,10,44,PS2.SD,standard
2019-11-23T05:20:35.900868Z,0,51,1,49,PS2,standard
2019-11-21T04:04:13.771869Z,72,23,4,1,PS2,standard
2019-11-21T05:21:18.93893Z,8,10,79,3,PS2,standard
2019-11-20T05:51:36.178205Z,0,38,2,60,PS2.SD,standard
2019-11-20T05:22:09.301088Z,0,98,0,2,PS2,standard
2019-11-19T05:19:48.76012Z,4,73,12,11,PS2,standard
2019-11-17T04:05:51.787612Z,0,82,0,18,PS2,standard
2019-11-17T05:20:45.309995Z,0,100,0,0,PS2,standard
2019-11-15T04:03:31.436331Z,98,1,0,1,PS2,test
2019-11-11T05:22:36.225759Z,2,3,60,35,PS2,standard
2019-11-10T05:20:37.401787Z,0,100,0,0,PS2,standard
2019-11-08T04:05:59.189033Z,0,94,0,6,PS2,standard
2019-11-08T05:19:23.374197Z,0,100,0,0,PS2,standard
2019-11-07T04:06:52.356273Z,0,92,0,8,PS2,standard
2019-11-06T05:51:59.779285Z,0,99,0,1,PS2.SD,standard
2019-11-06T05:21:50.193896Z,0,100,0,0,PS2,standard
2019-11-05T04:08:01.46979Z,0,100,0,0,PS2,standard
2019-11-03T05:20:42.136572Z,11,6,41,41,PS2,standard
2019-10-30T05:52:30.767882Z,4,13,25,58,PS2.SD,standard
2019-10-27T05:21:14.643478Z,0,97,0,3,PS2,standard
2019-10-26T05:18:36.660841Z,0,2,58,39,PS2,standard
2019-10-24T05:53:06.625196Z,0,73,0,27,PS2.SD,standard
2019-10-23T05:20:09.403749Z,0,100,0,0,PS2,standard
2019-10-23T05:52:00.182093Z,0,69,0,31,PS2.SD,standard
2019-10-22T05:19:36.002129Z,0,100,0,0,PS2,standard
2019-10-21T05:13:30.76333Z,0,100,0,0,PS2,standard
2019-10-20T05:19:52.673717Z,0,78,0,22,PS2,standard
2019-10-20T05:19:53.707613Z,0,21,18,61,PS2,standard
2019-10-19T05:37:55.529634Z,0,90,0,10,PS2.SD,standard
2019-10-17T05:53:09.010812Z,0,24,0,76,PS2.SD,standard
2019-10-17T05:53:06.940398Z,0,26,0,74,PS2.SD,standard
2019-10-16T08:10:41.627217Z,0,100,0,0,PS2,standard
2019-10-16T05:23:58.071341Z,0,100,0,0,PS2,standard
2019-10-14T05:11:40.249338Z,0,100,0,0,PS2,standard
2019-10-14T04:09:22.793425Z,0,43,0,57,PS2,standard
2019-10-14T05:11:41.305254Z,0,100,0,0,PS2,standard
2019-10-13T05:11:16.616561Z,0,100,0,0,PS2,standard
2019-10-12T05:20:52.699935Z,0,100,0,0,PS2,standard
2019-10-11T05:38:32.1291Z,0,89,0,11,PS2.SD,standard
2019-10-10T05:22:09.546129Z,0,99,0,1,PS2,standard
