acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-10-29T05:50:58.988595Z,34,5,38,24,PS2.SD,standard
2019-12-17T05:40:49.785392Z,100,0,0,0,PS2.SD,test
2019-12-11T05:48:55.7405Z,26,21,27,25,PS2.SD,standard
2019-11-26T05:49:43.909211Z,4,6,76,14,PS2.SD,standard
2019-12-19T05:48:42.997718Z,58,33,9,0,PS2.SD,test
2019-10-18T05:35:14.13451Z,93,1,5,1,PS2.SD,test
2019-11-12T05:51:01.961652Z,20,6,74,0,PS2.SD,test
2019-12-05T05:22:36.72332Z,0,79,3,18,PS2,standard
2019-12-10T05:39:44.199128Z,4,12,12,72,PS2.SD,standard
2019-12-10T05:20:05.573863Z,7,9,18,66,PS2,standard
2019-12-10T04:00:59.792055Z,0,13,20,67,PS2,standard
2019-12-09T05:27:49.799749Z,37,14,50,0,PS2,standard
2019-12-09T05:27:48.733872Z,74,7,18,1,PS2,test
2019-12-08T05:20:26.133966Z,0,100,0,0,PS2,standard
2019-12-07T05:12:22.851548Z,0,100,0,0,PS2,standard
2019-12-04T05:20:04.99146Z,0,94,0,6,PS2,standard
2019-12-04T05:49:45.98607Z,0,43,0,57,PS2.SD,standard
2019-12-02T05:22:24.233578Z,0,100,0,0,PS2,standard
2019-12-02T05:18:48.63505Z,0,100,0,0,PS2,standard
2019-12-02T05:18:49.686248Z,0,100,0,0,PS2,standard
2019-11-30T04:03:18.204355Z,0,100,0,0,PS2,standard
2019-11-30T05:07:21.951701Z,0,100,0,0,PS2,standard
2019-11-29T05:11:01.794961Z,6,21,68,4,PS2,standard
2019-11-28T04:01:39.731492Z,10,64,16,2,PS2,standard
2019-11-27T05:21:20.222568Z,17,19,35,29,PS2,standard
2019-11-27T05:21:19.17137Z,20,27,32,19,PS2,standard
2019-11-26T05:22:36.891725Z,7,6,87,0,PS2,standard
2019-11-25T05:10:18.536812Z,0,100,0,0,PS2,standard
2019-11-24T04:01:56.885089Z,0,100,0,0,PS2,standard
2019-11-23T05:20:33.794279Z,0,100,0,0,PS2,standard
2019-11-23T05:20:37.64717Z,0,100,0,0,PS2,standard
2019-11-23T05:20:38.697319Z,0,100,0,0,PS2,standard
2019-11-19T05:19:46.654055Z,0,77,8,14,PS2,standard
2019-11-19T05:50:13.37786Z,0,10,21,69,PS2.SD,standard
2019-11-18T04:03:13.77334Z,0,100,0,0,PS2,standard
2019-11-18T05:40:09.434406Z,0,100,0,0,PS2.SD,standard
2019-11-12T05:20:19.027262Z,5,16,79,0,PS2,standard
2019-11-10T05:20:35.318267Z,0,100,0,0,PS2,standard
2019-11-08T05:19:21.28753Z,0,100,0,0,PS2,standard
2019-11-06T05:19:57.897156Z,0,100,0,0,PS2,standard
2019-11-05T05:51:02.868974Z,0,100,0,0,PS2.SD,standard
2019-11-04T05:35:44.08444Z,0,99,0,1,PS2.SD,standard
2019-11-01T04:07:51.511463Z,4,3,93,0,PS2,standard
2019-10-31T05:18:09.084533Z,0,1,99,0,PS2,standard
2019-10-30T05:19:39.257406Z,0,90,0,9,PS2,standard
2019-10-29T04:08:57.821634Z,0,3,61,36,PS2,standard
2019-10-26T05:18:34.584137Z,0,7,11,82,PS2,standard
2019-10-25T05:19:14.069584Z,0,4,37,59,PS2,standard
2019-10-25T04:06:37.488078Z,0,0,99,0,PS2,standard
2019-10-24T05:20:57.923375Z,0,100,0,0,PS2,standard
2019-10-23T04:07:28.791848Z,0,98,0,2,PS2,standard
2019-10-23T04:07:29.728227Z,0,97,0,3,PS2,standard
2019-10-23T05:52:02.259322Z,0,94,0,6,PS2.SD,standard
2019-10-22T04:07:42.797855Z,0,100,0,0,PS2,standard
2019-10-21T04:07:16.060956Z,0,100,0,0,PS2,standard
2019-10-21T05:22:07.272485Z,0,100,0,0,PS2,standard
2019-10-20T04:08:24.323323Z,0,100,0,0,PS2,standard
2019-10-19T04:08:13.852402Z,0,92,0,8,PS2,standard
2019-10-19T04:08:12.919169Z,0,95,0,5,PS2,standard
2019-10-16T08:10:39.435169Z,0,100,0,0,PS2,standard
2019-10-16T05:51:26.123414Z,0,61,0,39,PS2.SD,standard
2019-10-13T05:11:14.507874Z,0,100,0,0,PS2,standard
2019-10-12T04:09:30.177908Z,0,14,0,86,PS2,standard
2019-10-10T04:09:45.490968Z,0,16,0,84,PS2,standard
2019-10-10T05:10:26.50253Z,0,96,0,4,PS2,standard
2019-10-10T05:10:27.553727Z,0,97,0,3,PS2,standard
2019-10-10T05:52:18.255792Z,0,95,0,5,PS2.SD,standard
2019-10-23T08:04:02.400038Z,0,100,0,0,PS2,standard
