,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_44,44,120.37051114416667,27.102364955846767,23.746236298333333,14,6,1,1
UNQ_36,36,120.3705236688889,25.079796198685738,23.544741330277777,14,4,1,1
UNQ_26,26,120.49266894888889,32.03264557650326,23.493105125000003,12,5,4,1
UNQ_17,17,120.49352805333334,34.03468707190972,23.03166890236111,14,5,4,1
UNQ_7,7,120.5249294425,30.82386857276729,24.021858305555554,11,5,2,1
UNQ_4,4,143.85812929638888,26.672164433218697,23.921007500555554,11,2,1,1
UNQ_13,13,143.8592764677778,23.66829128124022,23.513638262222223,13,1,1,1
UNQ_12,12,143.8592764677778,22.12696480907529,22.742565258055556,11,1,1,1
UNQ_21,21,143.86042363916667,24.730136315000003,23.517773809999998,11,1,1,1
UNQ_22,22,143.86042363916667,24.730136314999992,23.68294016722222,13,2,1,1
UNQ_29,29,143.86042363916667,23.03628700282344,22.802665200833335,12,1,1,1
UNQ_30,30,143.86042363916667,24.730135490441178,23.602107314305556,10,2,1,1
UNQ_54,54,143.86271798138887,24.730133843476303,22.762069907083333,13,4,1,1
UNQ_46,46,143.86271798138887,21.02061774462847,22.622814688333335,10,4,1,1
UNQ_62,62,143.86386529861113,25.871528669239318,22.761797453333337,11,5,2,2
UNQ_70,70,143.86501246999998,25.099243394485907,22.871224831666666,9,5,2,2
UNQ_65,65,143.98577596722222,30.006498212916668,23.633693141250003,13,5,2,1
UNQ_57,57,143.98606432555556,32.50704567137732,23.67035484777778,14,5,1,1
UNQ_99,99,143.99704414944443,21.216426706360025,23.47916064416667,6,2,1,1
UNQ_12867,12867,143.99704560555554,21.216430110829723,23.480015961944446,8,1,1,1
UNQ_9,9,144.05332837611112,28.293209006651786,23.947336817638888,11,2,2,1
UNQ_1,1,146.25001036861113,24.756518163565506,23.682506505,9,3,2,1
UNQ_10,10,146.25089583277776,26.328360783139328,23.835778406944446,11,3,3,1
UNQ_20,20,146.25178129666665,24.730136315000003,23.72413083638889,11,2,2,2
UNQ_19,19,146.25178129666665,27.644779028615737,23.82331052138889,11,4,2,1
UNQ_11621,11621,146.25208072333334,24.39245245030229,23.832231654444445,10,4,2,1
UNQ_28,28,146.25208072333334,25.479538357028623,23.61363185486111,12,4,1,1
UNQ_2,2,146.38887121305555,24.023566338615083,23.504043030138888,9,5,2,1
UNQ_11,11,146.38889873833335,27.123376217576173,23.723834176805557,10,4,3,2
UNQ_18,18,167.527172195,29.808365887417693,23.973785253055556,10,4,3,1
UNQ_27,27,167.52802678444445,28.660788147397668,23.974602538611112,11,3,2,1
UNQ_42,42,167.5294653722222,32.03264449708605,23.98564958138889,13,3,3,2
UNQ_50,50,167.5303198161111,30.82386442077568,23.867857443611108,12,5,3,3
UNQ_5,5,167.88118373444442,24.005407499595584,23.739511188749997,8,2,1,1
UNQ_3,3,167.97222967861111,25.099239751426204,22.909981720555557,10,3,1,1
UNQ_12862,12862,167.9829065125,26.275767800338542,23.46582146055556,7,5,4,2
UNQ_31,31,168.01768305027775,24.72562984455224,23.515378169999998,8,4,1,1
UNQ_23,23,168.01825292222222,27.61030613850463,23.96325647861111,10,4,1,1
UNQ_14,14,168.01826166055557,25.505749869249133,23.714844737361112,9,3,1,1
UNQ_78,78,191.99587998083334,27.568016216675773,23.49942715222222,7,6,4,2
UNQ_94,94,191.9958858061111,27.568019594940804,23.657740226111112,7,4,3,2
UNQ_86,86,191.9964661638889,27.123379250085122,23.603450079027777,6,5,3,2
