acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-12-17T05:40:43.725147Z,100,0,0,0,PS2.SD,test
2019-12-17T05:40:41.705065Z,100,0,0,0,PS2.SD,test
2019-12-19T05:42:48.149017Z,92,3,5,0,PS2.SD,test
2019-12-19T05:48:49.265581Z,78,10,12,0,PS2.SD,test
2019-11-12T05:51:08.103686Z,54,7,36,3,PS2.SD,test
2019-10-20T05:22:10.676757Z,0,98,0,2,PS2,standard
2019-12-05T05:22:31.205122Z,0,100,0,0,PS2,standard
2019-12-04T05:23:12.314224Z,0,21,18,61,PS2,standard
2019-12-04T05:23:13.363849Z,0,47,6,47,PS2,standard
2019-12-11T05:49:04.179964Z,9,13,0,79,PS2.SD,standard
2019-12-11T05:23:23.21545Z,0,67,0,33,PS2,standard
2019-12-10T05:19:59.281883Z,5,14,15,66,PS2,standard
2019-12-10T04:01:07.483885Z,0,8,83,8,PS2,standard
2019-12-08T05:39:37.899617Z,0,93,0,7,PS2.SD,standard
2019-12-07T05:23:00.553607Z,0,100,0,0,PS2,standard
2019-12-04T05:07:49.294731Z,0,48,11,41,PS2,standard
2019-12-04T05:49:52.235058Z,0,46,0,54,PS2.SD,standard
2019-12-03T05:11:36.697624Z,0,100,0,0,PS2,standard
2019-12-01T05:21:52.460447Z,0,100,0,0,PS2,standard
2019-11-30T04:03:25.80758Z,0,63,0,37,PS2,standard
2019-11-28T04:01:46.34853Z,2,32,64,1,PS2,standard
2019-11-28T05:21:35.177703Z,61,7,25,6,PS2,standard
2019-11-27T05:21:12.86471Z,76,13,7,5,PS2,test
2019-11-26T05:49:52.166747Z,9,55,24,12,PS2.SD,standard
2019-11-24T04:02:03.491117Z,0,99,0,1,PS2,standard
2019-11-24T05:41:12.240943Z,0,100,0,0,PS2.SD,standard
2019-11-23T05:20:27.475036Z,0,100,0,0,PS2,standard
2019-11-21T05:21:10.524631Z,3,6,92,0,PS2,standard
2019-11-20T05:22:00.898324Z,0,97,0,3,PS2,standard
2019-11-19T05:19:40.336909Z,0,100,0,0,PS2,standard
2019-11-19T05:50:19.564983Z,0,33,2,65,PS2.SD,standard
2019-11-18T04:03:21.277998Z,0,100,0,0,PS2,standard
2019-11-17T05:20:36.903561Z,0,100,0,0,PS2,standard
2019-11-15T05:19:01.187946Z,36,7,57,0,PS2,standard
2019-11-11T04:04:10.806613Z,20,4,59,17,PS2,standard
2019-11-11T05:22:27.827714Z,73,0,24,3,PS2,test
2019-11-10T05:20:28.023848Z,0,100,0,0,PS2,standard
2019-11-10T05:20:29.066132Z,0,100,0,0,PS2,standard
2019-11-08T05:19:15.02858Z,0,100,0,0,PS2,standard
2019-11-06T05:21:41.830978Z,1,75,4,20,PS2,standard
2019-11-05T05:51:08.993182Z,0,100,0,0,PS2.SD,standard
2019-11-03T05:20:33.782567Z,6,8,52,34,PS2,standard
2019-11-01T05:20:12.583599Z,0,13,66,20,PS2,standard
2019-10-29T04:09:04.340631Z,0,9,11,80,PS2,standard
2019-10-29T05:51:05.219758Z,0,3,57,40,PS2.SD,standard
2019-10-29T05:51:07.296987Z,0,6,27,67,PS2.SD,standard
2019-10-27T05:21:05.328978Z,0,100,0,0,PS2,standard
2019-10-26T05:18:28.354547Z,0,67,0,33,PS2,standard
2019-10-25T04:06:44.968095Z,0,5,89,6,PS2,standard
2019-10-23T04:07:36.281827Z,0,100,0,0,PS2,standard
2019-10-23T05:20:01.139397Z,0,100,0,0,PS2,standard
2019-10-23T05:52:08.491534Z,0,96,0,4,PS2.SD,standard
2019-10-22T04:07:49.326814Z,0,100,0,0,PS2,standard
2019-10-22T04:07:50.259522Z,0,100,0,0,PS2,standard
2019-10-22T05:19:26.687104Z,0,100,0,0,PS2,standard
2019-10-21T04:07:23.561944Z,0,100,0,0,PS2,standard
2019-10-21T05:13:22.291884Z,0,100,0,0,PS2,standard
2019-10-20T04:08:31.818546Z,0,100,0,0,PS2,standard
2019-10-20T05:19:44.402025Z,0,94,0,6,PS2,standard
2019-10-19T04:08:20.385555Z,0,100,0,0,PS2,standard
2019-10-19T05:37:48.08789Z,0,100,0,0,PS2.SD,standard
2019-10-19T05:37:45.607483Z,0,100,0,0,PS2.SD,standard
2019-10-16T08:10:32.859023Z,0,34,2,64,PS2,standard
2019-10-16T05:23:49.814329Z,0,100,0,0,PS2,standard
2019-10-16T05:51:34.426563Z,0,59,0,41,PS2.SD,standard
2019-10-14T05:11:31.803581Z,0,100,0,0,PS2,standard
2019-10-14T05:11:32.859497Z,0,100,0,0,PS2,standard
2019-10-13T05:11:08.182339Z,0,100,0,0,PS2,standard
2019-10-12T04:09:36.76716Z,0,14,0,86,PS2,standard
2019-10-12T05:20:44.431913Z,0,100,0,0,PS2,standard
2019-10-11T05:38:24.109591Z,0,88,0,12,PS2.SD,standard
2019-10-10T04:09:53.041239Z,0,42,0,58,PS2,standard
2019-10-10T05:22:01.289118Z,0,100,0,0,PS2,standard
2019-10-10T05:52:24.439769Z,0,96,0,4,PS2.SD,standard
