acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-11-11T05:49:33.411977Z,39,9,51,0,PS2.SD,test
2019-11-11T05:49:35.451457Z,47,6,47,0,PS2.SD,test
2019-12-07T05:36:37.739843Z,0,100,0,0,PS2.SD,standard
2019-12-06T05:38:09.798276Z,0,70,0,30,PS2.SD,standard
2019-12-04T05:37:54.892112Z,0,30,0,70,PS2.SD,standard
2019-12-03T05:17:58.220803Z,0,100,0,0,PS2,standard
2019-12-03T05:48:56.039978Z,0,100,0,0,PS2.SD,standard
2019-12-01T05:38:21.657722Z,0,100,0,0,PS2.SD,standard
2019-11-29T04:02:45.93132Z,1,82,14,2,PS2,standard
2019-11-26T05:19:16.718853Z,36,38,14,11,PS2,test
2019-11-25T05:48:47.112261Z,0,100,0,0,PS2.SD,standard
2019-11-25T05:48:49.201548Z,0,99,0,1,PS2.SD,standard
2019-11-23T05:19:44.56257Z,0,100,0,0,PS2,standard
2019-11-19T05:16:52.427931Z,0,100,0,0,PS2,standard
2019-11-18T05:49:15.882531Z,0,99,0,1,PS2.SD,standard
2019-11-18T05:05:25.734104Z,0,100,0,0,PS2,standard
2019-11-17T04:02:06.099819Z,0,100,0,0,PS2,standard
2019-11-17T04:02:05.162392Z,0,100,0,0,PS2,standard
2019-11-17T05:20:34.231739Z,0,100,0,0,PS2,standard
2019-11-17T05:08:42.813411Z,0,100,0,0,PS2,standard
2019-11-16T04:02:51.348602Z,15,20,44,20,PS2,standard
2019-11-12T04:04:33.398353Z,0,1,99,0,PS2,standard
2019-11-11T05:17:23.278238Z,89,0,6,5,PS2,test
2019-11-09T04:05:16.963586Z,0,100,0,0,PS2,standard
2019-11-05T05:21:20.706213Z,0,100,0,0,PS2,standard
2019-11-04T05:19:08.106196Z,0,100,0,0,PS2,standard
2019-11-04T05:50:07.568519Z,0,100,0,0,PS2.SD,standard
2019-11-01T05:18:08.22618Z,1,5,93,0,PS2,standard
2019-11-01T05:18:07.185993Z,4,8,87,0,PS2,standard
2019-10-29T05:19:58.272003Z,1,1,86,12,PS2,standard
2019-10-28T05:49:55.437111Z,0,82,0,17,PS2.SD,standard
2019-10-27T04:06:06.307705Z,0,100,0,0,PS2,standard
2019-10-27T04:06:07.239365Z,0,100,0,0,PS2,standard
2019-10-26T04:07:32.201117Z,0,11,34,56,PS2,standard
2019-10-23T05:18:48.279017Z,0,100,0,0,PS2,standard
2019-10-22T05:17:25.121039Z,0,100,0,0,PS2,standard
2019-10-22T05:50:56.158068Z,0,100,0,0,PS2.SD,standard
2019-10-20T05:35:48.159109Z,0,93,0,7,PS2.SD,standard
