acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-11-13T05:51:48.630839Z,3,1,96,0,PS2.SD,test
2019-10-20T05:22:22.055903Z,0,100,0,0,PS2,standard
2019-12-05T05:22:41.975638Z,0,99,0,1,PS2,standard
2019-12-04T05:23:23.861143Z,0,100,0,0,PS2,standard
2019-12-05T05:50:35.870394Z,0,3,48,49,PS2.SD,standard
2019-12-09T05:27:54.062735Z,25,10,34,31,PS2,standard
2019-12-08T05:39:50.29064Z,0,0,0,99,PS2.SD,standard
2019-12-08T05:39:48.22547Z,0,15,0,85,PS2.SD,standard
2019-12-07T05:23:12.082176Z,0,100,0,0,PS2,standard
2019-12-04T05:20:10.23434Z,0,100,0,0,PS2,standard
2019-12-03T04:01:51.764982Z,0,100,0,0,PS2,standard
2019-12-02T04:01:18.380599Z,0,100,0,0,PS2,standard
2019-12-02T04:01:17.428492Z,0,100,0,0,PS2,standard
2019-12-01T05:22:04.02729Z,0,100,0,0,PS2,standard
2019-11-28T05:21:45.697542Z,34,48,0,18,PS2,standard
2019-11-27T05:21:24.426833Z,37,28,5,27,PS2,test
2019-11-26T05:22:42.139848Z,36,55,6,3,PS2,test
2019-11-25T05:10:22.668201Z,0,100,0,0,PS2,standard
2019-11-24T05:41:22.406888Z,0,11,25,64,PS2.SD,standard
2019-11-23T05:20:38.007457Z,0,4,0,95,PS2,standard
2019-11-21T04:04:10.949626Z,0,1,99,0,PS2,standard
2019-11-20T05:51:34.106743Z,19,9,18,53,PS2.SD,standard
2019-11-19T05:19:51.918431Z,0,100,0,0,PS2,standard
2019-11-18T05:40:13.490298Z,0,100,0,0,PS2.SD,standard
2019-11-17T04:05:48.974284Z,0,19,0,81,PS2,standard
2019-11-17T05:20:48.462539Z,0,99,0,1,PS2,standard
2019-11-15T04:03:28.625623Z,81,15,4,0,PS2,standard
2019-11-15T05:19:11.653783Z,89,1,7,3,PS2,test
2019-11-12T05:21:05.913498Z,35,14,51,0,PS2,standard
2019-11-11T05:22:39.375157Z,0,3,81,16,PS2,standard
2019-11-10T05:20:39.485832Z,0,100,0,0,PS2,standard
2019-11-08T04:05:56.383568Z,0,93,0,7,PS2,standard
2019-11-08T05:19:26.503672Z,0,100,0,0,PS2,standard
2019-11-07T04:06:49.55343Z,0,39,0,61,PS2,standard
2019-11-07T04:06:50.487711Z,0,44,0,56,PS2,standard
2019-11-06T05:51:57.719358Z,0,93,0,7,PS2.SD,standard
2019-11-05T04:07:58.666946Z,0,100,0,0,PS2,standard
2019-11-03T05:20:44.224811Z,45,7,47,1,PS2,standard
2019-11-01T05:20:24.036146Z,98,0,1,0,PS2,test
2019-10-30T05:52:28.693798Z,29,13,28,30,PS2.SD,standard
2019-10-27T05:21:16.713367Z,0,77,0,23,PS2,standard
2019-10-26T05:18:39.775636Z,0,0,100,0,PS2,standard
2019-10-25T05:19:19.25322Z,0,4,0,96,PS2,standard
2019-10-25T05:19:18.216178Z,0,4,33,63,PS2,standard
2019-10-24T05:21:02.067871Z,0,97,0,3,PS2,standard
2019-10-24T05:53:04.560026Z,0,24,0,76,PS2.SD,standard
2019-10-23T05:20:12.503339Z,0,100,0,0,PS2,standard
2019-10-22T05:19:38.072018Z,0,100,0,0,PS2,standard
2019-10-23T08:04:07.82904Z,0,100,0,0,PS2,standard
