acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-10-29T05:50:54.834137Z,43,4,48,5,PS2.SD,standard
2019-11-26T05:49:39.780443Z,47,11,42,0,PS2.SD,test
2019-11-15T05:39:28.270305Z,0,3,13,84,PS2.SD,standard
2019-11-15T05:39:26.248127Z,5,1,47,47,PS2.SD,standard
2019-11-12T05:50:55.820142Z,19,4,74,3,PS2.SD,test
2019-11-21T05:25:43.634746Z,66,6,27,1,PS2,test
2019-12-07T05:36:42.74522Z,0,89,0,11,PS2.SD,standard
2019-12-06T05:38:15.899415Z,0,3,5,92,PS2.SD,standard
2019-12-06T05:38:13.865702Z,0,2,1,98,PS2.SD,standard
2019-12-04T05:37:58.99886Z,0,26,0,74,PS2.SD,standard
2019-12-03T05:18:02.426117Z,0,100,0,0,PS2,standard
2019-12-03T05:48:51.873461Z,0,99,0,1,PS2.SD,standard
2019-11-30T05:26:51.636816Z,0,100,0,0,PS2,standard
2019-11-30T04:03:13.452733Z,0,21,0,79,PS2,standard
2019-11-25T04:02:13.155131Z,0,80,0,20,PS2,standard
2019-11-24T04:01:52.166497Z,0,90,0,10,PS2,standard
2019-11-23T05:19:48.774176Z,0,44,3,54,PS2,standard
2019-11-20T05:20:11.353881Z,2,23,23,52,PS2,standard
2019-11-19T05:16:56.638488Z,0,100,0,0,PS2,standard
2019-11-19T05:50:09.253286Z,0,34,7,59,PS2.SD,standard
2019-11-19T05:50:07.191262Z,0,47,0,53,PS2.SD,standard
2019-11-18T05:05:29.885942Z,0,100,0,0,PS2,standard
2019-11-17T04:02:01.411113Z,0,100,0,0,PS2,standard
2019-11-17T04:02:02.349064Z,0,100,0,0,PS2,standard
2019-11-17T05:08:46.983075Z,0,100,0,0,PS2,standard
2019-11-16T04:02:47.59837Z,0,10,5,85,PS2,standard
2019-11-11T05:17:27.474639Z,5,3,87,5,PS2,standard
2019-11-08T05:36:44.797117Z,0,97,0,3,PS2.SD,standard
2019-11-05T05:21:25.925501Z,0,100,0,0,PS2,standard
2019-11-05T05:21:24.881643Z,0,100,0,0,PS2,standard
2019-11-05T05:50:58.785819Z,0,79,0,21,PS2.SD,standard
2019-11-05T05:50:56.744241Z,0,69,0,31,PS2.SD,standard
2019-11-04T05:19:12.265373Z,0,52,0,48,PS2,standard
2019-11-01T04:07:46.853164Z,1,1,98,0,PS2,standard
2019-10-29T05:20:02.42751Z,0,1,88,11,PS2,standard
2019-10-26T04:07:28.46137Z,0,3,79,18,PS2,standard
2019-10-25T04:06:32.813002Z,0,0,100,0,PS2,standard
2019-10-23T05:18:53.440633Z,0,100,0,0,PS2,standard
2019-10-22T05:17:29.263438Z,0,100,0,0,PS2,standard
2019-10-21T04:07:11.373296Z,0,100,0,0,PS2,standard
2019-10-20T05:35:52.234924Z,0,100,0,0,PS2.SD,standard
