acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-11-11T05:49:39.529893Z,21,9,70,0,PS2.SD,test
2019-11-15T05:39:18.159411Z,45,7,48,0,PS2.SD,test
2019-12-09T03:58:54.727382Z,81,9,9,0,PS2,standard
2019-12-07T05:12:16.712136Z,0,100,0,0,PS2,standard
2019-12-04T05:37:48.732777Z,0,2,5,93,PS2.SD,standard
2019-12-03T05:17:52.963768Z,0,100,0,0,PS2,standard
2019-11-30T05:26:42.124659Z,0,100,0,0,PS2,standard
2019-11-30T05:26:41.067694Z,0,100,0,0,PS2,standard
2019-11-29T04:02:50.674029Z,1,9,89,1,PS2,standard
2019-11-29T05:10:55.620421Z,4,15,72,9,PS2,standard
2019-11-25T05:48:53.3796Z,0,94,0,6,PS2.SD,standard
2019-11-23T05:19:39.297669Z,0,100,0,0,PS2,standard
2019-11-20T04:01:28.766376Z,0,94,0,6,PS2,standard
2019-11-20T05:20:01.902017Z,0,100,0,0,PS2,standard
2019-11-18T05:49:21.978952Z,0,100,0,0,PS2.SD,standard
2019-11-18T05:05:20.544701Z,0,100,0,0,PS2,standard
2019-11-17T05:08:37.60094Z,0,100,0,0,PS2,standard
2019-11-12T04:04:39.013477Z,3,4,93,0,PS2,standard
2019-11-09T04:05:22.565604Z,0,100,0,0,PS2,standard
2019-11-09T04:05:21.631847Z,0,100,0,0,PS2,standard
2019-11-08T05:36:34.720826Z,0,100,0,0,PS2.SD,standard
2019-11-08T05:36:36.736189Z,0,100,0,0,PS2.SD,standard
2019-11-06T05:19:51.661274Z,0,100,0,0,PS2,standard
2019-11-06T05:19:50.621611Z,0,100,0,0,PS2,standard
2019-11-05T05:21:15.487451Z,0,100,0,0,PS2,standard
2019-11-04T05:19:01.867169Z,0,100,0,0,PS2,standard
2019-11-04T05:50:13.777661Z,0,100,0,0,PS2.SD,standard
2019-10-31T05:18:02.861234Z,0,63,0,37,PS2,standard
2019-10-29T05:19:53.077358Z,0,8,18,75,PS2,standard
2019-10-28T05:50:01.569183Z,0,81,0,19,PS2.SD,standard
2019-10-27T04:06:11.897664Z,0,100,0,0,PS2,standard
2019-10-23T05:18:43.117402Z,0,100,0,0,PS2,standard
2019-10-22T05:17:19.942647Z,0,100,0,0,PS2,standard
2019-10-22T05:51:02.394474Z,0,100,0,0,PS2.SD,standard
2019-10-20T04:05:24.952964Z,0,100,0,0,PS2,standard
