acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-10-29T05:50:52.756908Z,27,2,56,15,PS2.SD,standard
2019-11-26T05:49:37.715797Z,21,5,75,0,PS2.SD,test
2019-11-26T05:49:39.780443Z,47,11,42,0,PS2.SD,test
2019-11-15T05:39:28.270305Z,0,3,13,84,PS2.SD,standard
2019-11-12T05:50:55.820142Z,19,4,74,3,PS2.SD,test
2019-12-07T05:12:27.967551Z,0,100,0,0,PS2,standard
2019-12-04T05:38:01.051972Z,0,68,0,32,PS2.SD,standard
2019-12-04T05:49:39.736557Z,0,55,0,45,PS2.SD,standard
2019-12-03T05:18:04.529037Z,0,100,0,0,PS2,standard
2019-12-02T05:22:29.492711Z,0,100,0,0,PS2,standard
2019-12-02T05:18:53.89261Z,0,100,0,0,PS2,standard
2019-11-30T04:03:12.502199Z,0,10,0,90,PS2,standard
2019-11-30T05:26:52.69378Z,0,100,0,0,PS2,standard
2019-11-29T05:11:06.939799Z,2,7,90,1,PS2,standard
2019-11-28T04:01:34.05922Z,35,57,0,2,PS2,test
2019-11-24T04:01:51.222778Z,0,89,0,11,PS2,standard
2019-11-23T05:20:42.898963Z,0,48,0,52,PS2,standard
2019-11-22T05:06:13.063201Z,10,12,72,6,PS2,standard
2019-11-20T05:20:13.454179Z,4,3,74,18,PS2,standard
2019-11-19T05:50:07.191262Z,0,47,0,53,PS2.SD,standard
2019-11-18T04:03:08.144585Z,0,100,0,0,PS2,standard
2019-11-18T05:05:31.962122Z,0,100,0,0,PS2,standard
2019-11-17T05:08:49.068168Z,0,100,0,0,PS2,standard
2019-11-11T04:03:57.732443Z,20,5,73,1,PS2,standard
2019-11-11T05:17:28.52374Z,1,7,47,45,PS2,standard
2019-11-08T05:36:46.81248Z,0,64,0,36,PS2.SD,standard
2019-11-06T05:20:03.094423Z,0,99,0,1,PS2,standard
2019-11-06T05:20:02.05476Z,0,100,0,0,PS2,standard
2019-11-05T05:50:56.744241Z,0,69,0,31,PS2.SD,standard
2019-11-04T05:19:14.344699Z,0,52,0,48,PS2,standard
2019-11-04T05:19:13.305036Z,0,19,0,81,PS2,standard
2019-11-04T05:35:49.026902Z,0,15,0,84,PS2.SD,standard
2019-11-01T04:07:45.921505Z,2,14,84,0,PS2,standard
2019-10-31T05:18:14.27079Z,0,4,79,17,PS2,standard
2019-10-30T05:19:44.463586Z,24,8,37,31,PS2,standard
2019-10-29T04:08:51.302113Z,8,2,90,0,PS2,standard
2019-10-29T05:20:04.505263Z,1,1,92,5,PS2,standard
2019-10-25T04:06:31.877672Z,0,0,100,0,PS2,standard
2019-10-23T04:07:23.175151Z,0,60,0,40,PS2,standard
2019-10-23T04:07:24.111005Z,0,87,0,13,PS2,standard
2019-10-23T05:18:54.472956Z,0,100,0,0,PS2,standard
2019-10-23T05:51:56.027111Z,0,53,0,47,PS2.SD,standard
2019-10-22T04:07:37.201605Z,0,100,0,0,PS2,standard
2019-10-21T04:07:10.435345Z,0,100,0,0,PS2,standard
2019-10-20T04:08:18.701383Z,0,100,0,0,PS2,standard
