,label,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_1,1,1,71.26986588,17.495526914740392,23.517876458055557,5,0,0,0
UNQ_10,10,10,71.98041708777778,18.353150783110017,23.724695272083338,6,0,0,0
UNQ_11,11,11,71.98041708777778,20.765265056335828,23.87513358222222,8,0,0,0
UNQ_11621,11621,28,95.90763591388888,17.935575118082525,23.61036367,5,1,0,0
UNQ_11757,11757,37,96.02078016777779,22.799277448996524,23.97196261222222,8,2,1,0
UNQ_11892,11892,46,48.61268183,20.30887824458486,23.874472302222223,8,0,0,0
UNQ_12,12,12,48.58587915416666,17.94280184479504,23.70566542888889,2,0,0,0
UNQ_12028,12028,55,72.02442343694445,19.66072945206265,23.796785369027777,7,1,0,0
UNQ_12163,12163,64,119.39842253388889,20.765257450380773,23.79916954416667,7,1,1,0
UNQ_12299,12299,73,95.74014696,22.57065007656415,23.94195130652778,9,2,0,0
UNQ_12437,12437,82,71.98607321527777,20.386393532592592,23.827913826388887,7,0,0,0
UNQ_12575,12575,91,71.81758285222223,17.235763119282833,23.47696223763889,5,0,0,0
UNQ_12716,12716,100,72.02210278638888,17.719014865708726,23.44835270472222,4,1,0,0
UNQ_12859,12859,109,72.02210278638888,20.16950995,23.615063036250003,7,1,0,0
UNQ_12860,12860,110,71.99124244361111,19.546081979060713,23.610504054166668,7,0,0,0
UNQ_12861,12861,111,48.232505154722226,17.08081038,23.438262514999998,3,0,0,0
UNQ_12862,12862,112,71.99054096277779,17.230823778426767,23.397506094166665,6,0,0,0
UNQ_12863,12863,113,72.79319437305556,16.626576935562866,23.416263467916668,3,1,0,0
UNQ_12864,12864,114,72.79319437305556,16.773714784550148,23.401958761666666,4,1,0,0
UNQ_12865,12865,115,95.82457148055556,18.051712101468254,23.40058147527778,10,1,0,0
UNQ_12866,12866,116,48.68679651944444,18.05675266868783,23.44000412,4,0,0,0
UNQ_12867,12867,117,48.68679651944444,21.310199433542447,23.876822003055555,10,0,0,0
UNQ_13,13,13,71.88936442138889,20.08851434340579,23.720100104861114,4,0,0,0
UNQ_14,14,14,72.57277851777778,15.99331937591168,23.424160739166666,4,1,0,0
UNQ_15,15,15,71.80516626361111,13.462002640155875,23.216197536944442,4,0,0,0
UNQ_16,16,16,96.23102973583333,15.535989628857013,23.38961598361111,3,1,1,0
UNQ_17,17,17,48.03746598861111,15.53631065453552,23.407749491388888,1,0,0,0
UNQ_18,18,18,95.82521476611112,17.714298129470404,23.412880869166667,4,1,0,0
UNQ_19,19,19,71.26985633055556,18.72021373487222,23.77596057708333,6,0,0,0
UNQ_2,2,2,71.97976389777777,19.453767808181286,23.79914527611111,6,0,0,0
UNQ_20,20,20,71.94222950194444,18.667756915190793,23.673189860555556,7,0,0,0
UNQ_21,21,21,48.585232304444446,16.354937474370697,23.419517231666667,3,0,0,0
UNQ_22,22,22,71.97945372444444,19.053030596185568,23.530519549166666,5,0,0,0
UNQ_23,23,23,71.97945372444444,15.99331942662393,23.401339615833333,3,0,0,0
UNQ_24,24,24,72.40211375611112,14.850939467579368,23.367960156944445,4,1,0,0
UNQ_25,25,25,72.40211375611112,15.285724849970878,23.384921150694442,3,1,0,0
UNQ_26,26,26,48.20580985277778,15.043094296796736,23.354764979027774,3,0,0,0
UNQ_27,27,27,95.82456406249999,17.23117491139394,23.408661874166665,4,1,0,0
UNQ_28,28,29,71.94222950194444,20.534539809339503,23.81077055861111,9,0,0,0
UNQ_29,29,30,71.96440046250001,17.601034122291004,23.42016094777778,5,0,0,0
UNQ_3,3,3,71.81843278888888,18.858250991706353,23.82080103347222,5,0,0,0
UNQ_30,30,31,48.65363250388889,18.668120786972505,23.46848238,5,0,0,0
UNQ_31,31,32,48.23296086305556,15.993313801355654,23.401307786111108,3,0,0,0
UNQ_32,32,33,48.385937813333335,16.626234365852824,23.40044886611111,4,0,0,0
UNQ_33,33,34,47.37725349944445,15.536305096691711,23.426348453472222,0,0,0,0
UNQ_34,34,35,48.09615785055556,15.92798219660831,23.39653817416667,4,0,0,0
UNQ_35,35,36,71.99043375583334,15.409999035742999,23.332091437777777,6,0,0,0
UNQ_36,36,38,95.74025501638889,22.570650264669307,23.905941205694447,8,2,0,0
UNQ_37,37,39,71.88936072833333,18.48143957910278,23.42857250236111,4,0,0,0
UNQ_38,38,40,72.57278128444445,18.668120786972505,23.454281776944445,7,2,0,0
UNQ_39,39,41,48.566032015000005,14.850939514669315,23.382889783055557,3,0,0,0
UNQ_4,4,4,71.89001990444444,20.30927448076618,23.619349061944444,3,0,0,0
UNQ_40,40,42,72.01163477444445,15.794922505782408,23.385238668750002,6,1,0,0
UNQ_41,41,43,47.55485096638889,15.40999888568654,23.40196318,0,0,0,0
UNQ_42,42,44,48.70889927555555,15.40999888568654,23.380376811111113,2,0,0,0
UNQ_43,43,45,48.68746014111111,16.062964940164782,23.366235004305555,6,0,0,0
UNQ_44,44,47,71.81768192222222,18.587587910021785,23.760977100833333,5,0,0,0
UNQ_45,45,48,71.89001436472222,19.54608241809851,23.61039174888889,3,0,0,0
UNQ_46,46,49,48.65418035333334,17.555277727366256,23.60500659902778,3,0,0,0
UNQ_47,47,50,48.56668512833333,15.047380909171078,23.38288390138889,4,0,0,0
UNQ_48,48,51,95.23200785916667,16.339574859312737,23.397199325972224,6,1,0,0
UNQ_49,49,52,48.38837315888889,16.062959350334275,23.390271148750003,3,0,0,0
UNQ_5,5,5,48.653730091111115,16.35525644026303,23.437651644444447,4,0,0,0
UNQ_50,50,53,71.46780558444445,17.389258746233434,23.396520434444444,4,0,0,0
UNQ_51,51,54,71.39075314611111,16.715251753187005,23.39870379,6,0,0,0
UNQ_52,52,56,71.40648462166666,18.230140522419873,23.553985326944442,4,0,0,0
UNQ_53,53,57,71.69795011694444,19.749687332381367,23.606166579166665,4,0,0,0
UNQ_54,54,58,48.42951451388888,16.631315741715397,23.44300316388889,3,0,0,0
UNQ_55,55,59,48.23237506277778,14.175896854406565,23.367945507083334,3,0,0,0
UNQ_56,56,60,48.28583172305556,16.33957485931274,23.426344066388886,2,0,0,0
UNQ_57,57,61,48.037457028611115,16.062964783747645,23.416598771805557,1,0,0,0
UNQ_58,58,62,95.82521848,18.4022315,23.433009930555556,7,1,0,0
UNQ_59,59,63,48.68745667138889,16.56732907,23.394998549999997,5,0,0,0
UNQ_6,6,6,48.23289581722223,14.175891688575339,23.38803137097222,1,0,0,0
UNQ_60,60,65,71.41867984388888,18.056513894492063,23.444680565000002,5,0,0,0
UNQ_61,61,66,72.57278405111111,20.834834988006715,23.467820628888887,8,1,0,0
UNQ_62,62,67,71.80502719694445,16.928303427755456,23.421820946944443,4,0,0,0
