,label,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_1,1,1,73.33922275750001,14.04493516,20.52792337638889,4,1,0,0
UNQ_10,10,10,73.33963942,12.98675509209475,3.4935668270833333,4,1,0,0
UNQ_11,11,11,71.16000893222223,13.073380273898469,0.9656846388888889,4,0,0,0
UNQ_11621,11621,28,95.54574560611111,13.164168930725308,3.548630588888889,3,1,0,0
UNQ_11757,11757,37,96.475124,13.44426154184791,3.4799694905555554,4,2,1,0
UNQ_11892,11892,46,96.47476124027777,13.07338284367816,3.440286205,3,1,1,0
UNQ_12,12,12,71.19127606,14.249241767128238,3.147226606388889,3,0,0,0
UNQ_12028,12028,55,95.03089285027778,13.736522806280195,20.49274701,3,1,0,0
UNQ_12163,12163,64,95.03102843694444,13.732960210672303,20.492386775416666,2,1,0,0
UNQ_12299,12299,73,95.03088789861111,13.16075352319059,2.606116695138889,2,1,0,0
UNQ_12437,12437,82,95.03074736027777,13.63416652058553,2.615240707222222,3,1,0,0
UNQ_12575,12575,91,72.04375060527778,13.346116236662755,1.9959612959722222,4,1,0,0
UNQ_12716,12716,100,72.04438904944445,13.938416935794525,2.6423565873611112,4,1,0,0
UNQ_12859,12859,109,97.46287453055555,13.938420033762254,1.2024124575000001,6,2,1,0
UNQ_12860,12860,110,71.99018359083333,14.808515254414063,20.51476349652778,5,0,0,0
UNQ_12861,12861,111,71.97416078,13.443191152943259,2.6825018880555556,6,0,0,0
UNQ_12862,12862,112,95.78460020583333,13.08070967686973,0.9360683444444444,5,2,0,0
UNQ_12863,12863,113,72.05338018527777,12.902740837728649,2.682741749722222,4,1,0,0
UNQ_12864,12864,114,72.05338018527777,13.845213891005676,21.293833506666665,4,1,0,0
UNQ_12865,12865,115,72.79424047277777,13.352393669458138,11.554821654444444,4,1,0,0
UNQ_12866,12866,116,71.92331916444444,12.574097563960631,1.3020491580555555,4,0,0,0
UNQ_12867,12867,117,71.92331916444444,12.742874888995152,2.691646128888889,4,0,0,0
UNQ_13,13,13,72.47913694416667,13.182790433364632,2.0079726105555555,3,1,0,0
UNQ_14,14,14,71.95160440333333,13.937426176732027,11.995320371805555,3,0,0,0
UNQ_15,15,15,96.03669607166667,13.009824133320016,0.86316137,5,3,1,0
UNQ_16,16,16,72.05338119388888,13.864485867948094,20.777966620277777,4,1,0,0
