,AVG_1220300141,AVG_1117600141,AVG_2108000631,AVG_1107702081,AVG_1109701811,AVG_2129100331,AVG_1129100861,AVG_1119001241,AVG_1119102831,AVG_1209300921,AVG_1226001051,AVG_1226901291,AVG_1116700851,AVG_1116701151,AVG_1107200821,AVG_1107200551,AVG_1107900721,AVG_1126101461,AVG_2105400921,AVG_1103400641,AVG_2103400341,AVG_1101600961,AVG_1121600241,AVG_1121600081,AVG_1121600121,AVG_1226001161,AVG_1203700901,AVG_1203700321,AVG_1203700551,AVG_1220302561,AVG_1129101071,AVG_1127100831,AVG_2127101001,AVG_1121100711,AVG_1107701101,AVG_1117600691,AVG_1119001521,AVG_1201500791,AVG_1203700041,AVG_1220301531,AVG_1121100171,AVG_1107703221,AVG_1109703061,AVG_1112300661,AVG_1116702111,AVG_1121101981,AVG_1115501701,AVG_2117400131,AVG_1125000781,AVG_2126101911,AVG_1119800301,AVG_1117400831,AVG_1125301151
17.0,NaN,5711.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8078.0,7462.666666666667,2970.0,9872.333333333334,NaN,6967.666666666667,NaN,5570.0,7463.333333333333,NaN,NaN,NaN,NaN,7076.666666666667,8066.555555555556,7781.25,7452.0,5649.666666666667,7731.0,9595.166666666666,9033.166666666666,10252.333333333334,6687.333333333333,6500.444444444444,10980.833333333334,5312.0,NaN,NaN,NaN,6745.333333333333,6197.0,8855.666666666666,9176.333333333334,11529.5,6966.5,7015.333333333333,6497.0,NaN,8572.333333333334,6992.5,NaN
18.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6991.0,NaN,NaN,6442.666666666667,9154.666666666666,9442.0,5560.333333333333,9785.333333333334,NaN,NaN,7607.333333333333,NaN,NaN,6272.333333333333,8960.666666666666,6230.666666666667,7893.0,8824.333333333334,9291.333333333334,8397.833333333332,7054.666666666667,6465.0,7921.5,7249.0,7151.0,6377.0,6035.666666666667,6802.0,8014.333333333333,5114.333333333333,NaN,NaN,NaN,6624.666666666667,6758.0,9232.666666666666,5706.0,10984.0,NaN,7540.0,7588.0,NaN,8915.0,6572.0,11050.333333333334
19.0,6735.0,NaN,5562.333333333333,NaN,7236.666666666667,NaN,NaN,7371.0,NaN,NaN,NaN,6069.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,9765.333333333334,6716.0,7436.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11569.0,9248.666666666666,11125.0,6353.111111111112,7260.666666666667,NaN,NaN,6797.0,6627.0,NaN,6491.0,6538.666666666667,NaN,8438.666666666666,12140.0,4973.666666666667,7451.0,6110.5,5207.666666666667,8872.0,NaN,NaN
20.0,5963.166666666667,NaN,NaN,5688.333333333333,NaN,7397.0,9503.333333333334,6374.333333333333,NaN,7750.333333333333,7492.666666666667,6407.0,NaN,NaN,NaN,NaN,6871.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8523.0,NaN,NaN,NaN,NaN,7063.666666666667,NaN,NaN,6038.666666666667,6004.666666666667,NaN,NaN,6713.666666666667,7894.0,NaN,NaN,5140.333333333333,6495.666666666667,6507.5,6604.666666666667,10685.333333333334,NaN,13886.666666666666
21.0,6814.5,NaN,5212.0,5970.0,7793.333333333333,NaN,NaN,8413.0,NaN,NaN,6535.666666666667,NaN,NaN,NaN,5543.666666666667,NaN,5878.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9327.666666666666,NaN,6831.333333333333,6647.888888888888,8495.111111111111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8925.333333333334,NaN
22.0,5603.833333333333,6497.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5534.666666666667,NaN,4309.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8268.0,7548.333333333333,7913.0,7190.5,6850.666666666667,NaN,9182.333333333334,8021.666666666667,9462.166666666666,NaN,NaN,NaN,5913.666666666667,6032.333333333333,7126.333333333333,9514.222222222223,NaN,NaN,NaN,8983.666666666666,10317.666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0,NaN,5154.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,7988.0,NaN,NaN,NaN,8831.666666666666,7665.166666666667,5323.833333333333,8530.333333333334,NaN,NaN,NaN,NaN,NaN,6127.666666666667,NaN,NaN,NaN,6556.333333333333,6209.333333333333,6260.5,6357.333333333333,6148.333333333333,NaN,8753.333333333334,7590.333333333333,8300.0,NaN,7043.0,NaN,6233.666666666667,NaN,NaN,8412.333333333334,5459.0,7040.666666666667,7650.666666666667,7792.0,9772.666666666666,5444.0,7961.666666666667,7115.666666666667,4516.5,7358.666666666667,6387.666666666667,11477.666666666666
24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8144.833333333333,NaN,NaN,NaN,NaN,NaN,NaN,7314.333333333333,NaN,NaN,NaN,4676.0,8623.666666666666,6862.5,8377.333333333334,7647.0,6957.555555555555,7722.25,7213.833333333333,6728.333333333333,NaN,9827.333333333334,7883.166666666667,8684.0,6117.0,NaN,NaN,NaN,NaN,NaN,9895.0,5903.5,NaN,NaN,8259.333333333334,10145.0,NaN,NaN,NaN,NaN,NaN,NaN,13177.0
25.0,NaN,5096.0,NaN,NaN,NaN,6412.5,8564.5,NaN,7350.055555555555,8398.666666666666,8042.5,NaN,8676.5,9734.5,NaN,8358.166666666666,NaN,7612.666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6383.0,5767.5,6438.5,5840.666666666667,5400.833333333333,7549.333333333333,NaN,NaN,NaN,NaN,8365.666666666666,NaN,NaN,NaN,NaN,NaN,NaN,6764.666666666667,8510.0,NaN,NaN,NaN,6277.0,7166.0,NaN,7630.0,NaN,NaN
26.0,7232.5,NaN,NaN,6546.666666666667,NaN,NaN,NaN,7887.0,6961.833333333333,NaN,NaN,NaN,8106.0,8749.5,NaN,NaN,5512.0,NaN,NaN,NaN,NaN,5455.666666666667,9557.0,8340.666666666666,9890.555555555555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7087.666666666667,7136.833333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
