id,lon,lat,Xcoord,Ycoord,burn
1,30.501737,74.892226,489658,3374388,20191105
2,30.493719,74.910455,491406,3373498,20191105
3,30.504082,74.907542,491128,3374647,20191105
4,30.49596,74.918636,492191,3373746,20191029
