OID_,unique_id,centX7773,centY7773,centXlat,centYlon,minX,maxx,miny,maxY
87,81,976774,885556,75.13435607,29.96912908,507948,517977,3310358,3320387
88,82,986774,885556,75.23796467,29.96928222,517944,527973,3310391,3320420
89,83,996774,885556,75.34157349,29.96935134,527940,537968,3310424,3320453
90,12575,916774,875556,74.51352194,29.87623973,448006,458037,3300156,3310187
91,84,926774,875556,74.61702893,29.87689636,458002,468033,3300191,3310222
92,85,936774,875556,74.72053724,29.87746905,467998,478028,3300226,3310256
93,86,946774,875556,74.82404668,29.87795781,477994,488024,3300261,3310290
94,87,956774,875556,74.92755707,29.87836262,487990,498019,3300295,3310324
95,88,966774,875556,75.03106824,29.8786835,497985,508015,3300329,3310358
96,89,976774,875556,75.13458,29.87892043,507981,518010,3300362,3310391
97,90,986774,875556,75.23809218,29.87907342,517977,528005,3300396,3310424
98,91,996774,875556,75.3416046,29.87914248,527973,538001,3300429,3310457
99,12716,916774,865556,74.51432279,29.78603514,448042,458072,3290160,3300191
100,92,926774,865556,74.61773357,29.78669115,458037,468068,3290196,3300226
101,93,936774,865556,74.72114565,29.78726329,468033,478063,3290231,3300261
102,94,946774,865556,74.82455887,29.78775158,478028,488058,3290265,3300295
103,95,956774,865556,74.92797304,29.78815602,488024,498053,3290300,3300329
104,96,966774,865556,75.03138798,29.78847659,498019,508048,3290334,3300362
105,97,976774,865556,75.13480351,29.7887133,508015,518043,3290367,3300396
106,98,986774,865556,75.23821946,29.78886615,518010,528038,3290400,3300429
107,99,996774,865556,75.34163565,29.78893513,528005,538033,3290433,3300461
108,12859,916774,855556,74.51512216,29.69583229,448077,458108,3280165,3290196
109,12860,926774,855556,74.6184369,29.69648767,458072,468102,3280201,3290231
110,12861,936774,855556,74.72175294,29.69705928,468068,478097,3280236,3290265
111,12862,946774,855556,74.82507011,29.69754711,478063,488092,3280270,3290300
112,12863,956774,855556,74.92838823,29.69795115,488058,498087,3280305,3290334
113,12864,966774,855556,75.03170712,29.69827142,498053,508081,3280339,3290367
114,12865,976774,855556,75.13502661,29.69850791,508048,518076,3280372,3290400
115,12866,986774,855556,75.2383465,29.69866061,518043,528071,3280405,3290433
116,12867,996774,855556,75.34166663,29.69872953,528038,538066,3280438,3290466
